species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex_FEMALE,sex_MALE,island_Biscoe,island_Dream,island_Torgersen
1,0.20942408376963356,-0.9666666666666668,0.851063829787234,0.6666666666666666,1.0,0.0,1.0,0.0,0.0
1,0.0,-1.0,0.8085106382978723,0.0392156862745098,0.0,1.0,1.0,0.0,0.0
2,0.25130890052356014,-0.2333333333333331,-0.2127659574468085,-1.0588235294117647,1.0,0.0,0.0,1.0,0.0
0,-0.6178010471204188,1.2999999999999996,-0.2553191489361702,-0.19607843137254902,0.0,1.0,0.0,0.0,1.0
1,0.24083769633507832,-0.39999999999999974,0.7659574468085106,1.1372549019607843,0.0,1.0,1.0,0.0,0.0
1,-0.167539267015707,-1.4000000000000004,0.7659574468085106,0.7450980392156863,1.0,0.0,1.0,0.0,0.0
2,0.5863874345549741,0.1999999999999993,-0.2978723404255319,-0.5098039215686274,1.0,0.0,0.0,1.0,0.0
0,-0.17801047120418884,0.39999999999999974,-0.0851063829787234,0.1568627450980392,0.0,1.0,0.0,0.0,1.0
0,-0.6178010471204188,-0.033333333333333805,0.0851063829787234,-0.23529411764705882,1.0,0.0,1.0,0.0,0.0
0,-0.8272251308900525,0.366666666666666,-0.5531914893617021,-0.45098039215686275,1.0,0.0,0.0,1.0,0.0
0,-0.7120418848167538,0.8333333333333334,0.0425531914893617,-0.43137254901960786,0.0,1.0,0.0,0.0,1.0
1,-0.19895287958115174,-1.2000000000000004,0.6808510638297872,0.7058823529411765,1.0,0.0,1.0,0.0,0.0
0,-0.5549738219895287,0.43333333333333357,-0.2978723404255319,0.1568627450980392,0.0,1.0,0.0,1.0,0.0
0,-0.31413612565445037,0.39999999999999974,0.1702127659574468,-0.0392156862745098,0.0,1.0,0.0,1.0,0.0
1,0.2931937172774867,-1.1666666666666667,0.8085106382978723,0.5294117647058824,0.0,1.0,1.0,0.0,0.0
0,-0.5549738219895287,1.2666666666666668,-0.0425531914893617,0.0784313725490196,0.0,1.0,0.0,1.0,0.0
0,-0.9214659685863874,-0.10000000000000024,-0.3404255319148936,-0.5490196078431373,1.0,0.0,0.0,0.0,1.0
1,0.06282722513089022,-0.9666666666666668,0.5531914893617021,0.27450980392156865,1.0,0.0,1.0,0.0,0.0
0,-0.3560209424083769,0.6000000000000002,-0.3829787234042553,0.0392156862745098,0.0,1.0,1.0,0.0,0.0
0,-0.4083769633507853,-0.033333333333333805,-0.425531914893617,-0.45098039215686275,0.0,1.0,0.0,1.0,0.0
1,-0.1884816753926699,-1.2000000000000004,0.46808510638297873,-0.0784313725490196,1.0,0.0,1.0,0.0,0.0
2,0.6387434554973825,0.6999999999999993,-0.1702127659574468,-0.19607843137254902,0.0,1.0,0.0,1.0,0.0
1,-0.05235602094240839,-1.2333333333333336,0.46808510638297873,0.23529411764705882,1.0,0.0,1.0,0.0,0.0
1,0.17801047120418884,-0.9333333333333336,0.5106382978723404,0.5882352941176471,1.0,0.0,1.0,0.0,0.0
0,-0.3874345549738224,0.5333333333333327,0.46808510638297873,0.19607843137254902,0.0,1.0,0.0,1.0,0.0
0,-0.7643979057591622,0.2666666666666669,-0.8085106382978723,-0.11764705882352941,0.0,1.0,0.0,1.0,0.0
2,0.5759162303664923,0.7333333333333331,-0.0425531914893617,-0.11764705882352941,0.0,1.0,0.0,1.0,0.0
0,-0.9005235602094245,-0.2333333333333331,-0.2978723404255319,-0.7843137254901961,1.0,0.0,0.0,0.0,1.0
2,0.32460732984293217,0.3333333333333333,-0.0851063829787234,-0.1568627450980392,1.0,0.0,0.0,1.0,0.0
0,-0.6701570680628273,0.43333333333333357,-0.2978723404255319,-0.27450980392156865,1.0,0.0,0.0,1.0,0.0
2,0.5235602094240839,0.5666666666666664,0.1276595744680851,-0.19607843137254902,0.0,1.0,0.0,1.0,0.0
2,0.17801047120418884,0.06666666666666643,-0.425531914893617,-0.3137254901960784,1.0,0.0,0.0,1.0,0.0
1,0.2198952879581154,-1.0333333333333339,0.5531914893617021,0.6274509803921569,1.0,0.0,1.0,0.0,0.0
0,-0.8062827225130895,0.39999999999999974,-0.1702127659574468,-0.43137254901960786,1.0,0.0,0.0,1.0,0.0
1,1.109947643979058,-0.43333333333333357,1.4042553191489362,1.411764705882353,0.0,1.0,1.0,0.0,0.0
0,-0.5235602094240839,-0.20000000000000048,-0.8085106382978723,-0.6274509803921569,1.0,0.0,0.0,1.0,0.0
1,0.10471204188481678,-0.7666666666666669,0.9787234042553191,0.7450980392156863,0.0,1.0,1.0,0.0,0.0
1,0.13612565445026154,-1.0333333333333339,0.9361702127659575,0.5098039215686274,1.0,0.0,1.0,0.0,0.0
1,0.45026178010471185,-0.36666666666666714,1.0638297872340425,1.5294117647058822,0.0,1.0,1.0,0.0,0.0
1,0.596858638743456,-1.0,0.8936170212765957,1.2941176470588236,0.0,1.0,1.0,0.0,0.0
0,-0.869109947643979,-0.033333333333333805,-0.425531914893617,-0.7058823529411765,1.0,0.0,0.0,0.0,1.0
1,0.167539267015707,-1.3666666666666671,0.5957446808510638,0.35294117647058826,1.0,0.0,1.0,0.0,0.0
1,0.31413612565445037,-0.7666666666666669,0.8936170212765957,0.7058823529411765,1.0,0.0,1.0,0.0,0.0
2,0.7853403141361259,0.5666666666666664,0.0,0.0784313725490196,0.0,1.0,0.0,1.0,0.0
1,0.24083769633507832,-0.6333333333333334,0.7659574468085106,0.8627450980392157,0.0,1.0,1.0,0.0,0.0
1,0.041884816753926565,-1.3333333333333333,0.6808510638297872,0.8235294117647058,1.0,0.0,1.0,0.0,0.0
1,0.4921465968586392,-0.7000000000000005,1.0212765957446808,1.7647058823529411,0.0,1.0,1.0,0.0,0.0
0,-0.14659685863874336,0.6333333333333329,0.0,-0.43137254901960786,0.0,1.0,0.0,0.0,1.0
0,-0.7015706806282728,0.3333333333333333,-0.9787234042553191,-0.5098039215686274,1.0,0.0,1.0,0.0,0.0
2,0.596858638743456,0.5,0.2127659574468085,-0.19607843137254902,0.0,1.0,0.0,1.0,0.0
0,-0.4607329842931937,0.5333333333333327,-0.3829787234042553,0.19607843137254902,0.0,1.0,1.0,0.0,0.0
