species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex_FEMALE,sex_MALE,island_Biscoe,island_Dream,island_Torgersen
1,0.45479877057747214,-1.4201841745205712,1.1329817302708443,0.8354282880670652,1.0,0.0,1.0,0.0,0.0
1,0.09641045739226413,-1.4708456692577552,1.062557220215121,-0.13923772415883426,0.0,1.0,1.0,0.0,0.0
2,0.5264764332145135,-0.3056312903025182,-0.6276310211222382,-1.844903245554158,1.0,0.0,0.0,1.0,0.0
0,-0.9608350665040993,2.024797467607954,-0.6980555311779615,-0.5047374787435466,0.0,1.0,0.0,0.0,1.0
1,0.5085570175552528,-0.5589387639884392,0.9921327101593976,1.5664277972364897,0.0,1.0,1.0,0.0,0.0
1,-0.19030019315590255,-2.078783606103966,0.9921327101593976,0.9572615395953026,1.0,0.0,1.0,0.0,0.0
2,1.099897734310847,0.352968141280875,-0.7684800412336847,-0.9920704848564962,1.0,0.0,0.0,1.0,0.0
0,-0.20821960881516322,0.6569371097039809,-0.4163574909550683,0.043512153133521886,0.0,1.0,0.0,0.0,1.0
0,-0.9608350665040993,-0.0016623218794140626,-0.1346594507321751,-0.5656541045076652,1.0,0.0,1.0,0.0,0.0
0,-1.3192233796893074,0.6062756149667959,-1.1910271015680245,-0.9006955462103181,1.0,0.0,0.0,1.0,0.0
0,-1.1221098074374427,1.3155365412873758,-0.20508396078789842,-0.8702372333282588,0.0,1.0,0.0,0.0,1.0
1,-0.24405844013368325,-1.7748146376808611,0.851283690047951,0.8963449138311839,1.0,0.0,1.0,0.0,0.0
0,-0.8533185725485366,0.7075986044411658,-0.7684800412336847,0.043512153133521886,0.0,1.0,0.0,1.0,0.0
0,-0.44117201238554793,0.6569371097039809,0.006189569379271475,-0.26107097568707166,0.0,1.0,0.0,1.0,0.0
1,0.5981540958515549,-1.7241531429436763,1.062557220215121,0.6222200978926496,0.0,1.0,1.0,0.0,0.0
0,-0.8533185725485366,1.9741359728707708,-0.345932980899345,-0.07832109839471554,0.0,1.0,0.0,1.0,0.0
0,-1.4804981206226506,-0.10298531135378211,-0.8389045512894081,-1.052987110620615,1.0,0.0,0.0,0.0,1.0
1,0.2039269513478268,-1.4201841745205712,0.6400101598807811,0.22626203042587803,1.0,0.0,1.0,0.0,0.0
0,-0.5128496750225893,0.9609060781270868,-0.9093290613451314,-0.13923772415883426,0.0,1.0,1.0,0.0,0.0
0,-0.6024467533188913,-0.0016623218794140626,-0.9797535714008547,-0.9006955462103181,0.0,1.0,0.0,1.0,0.0
1,-0.2261390244744226,-1.7748146376808611,0.49916113976933457,-0.3219876014511904,1.0,0.0,1.0,0.0,0.0
2,1.189494812607149,1.112890562338638,-0.5572065110665149,-0.5047374787435466,0.0,1.0,0.0,1.0,0.0
