species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,SEX_MALE,SEX_FEMALE,island_Dream,island_Biscoe,island_Torgersen
0,-0.6555555555555554,-0.10344827586206913,-0.375,-0.8461538461538461,1.0,0.0,0.0,0.0,1.0
0,-0.533333333333333,0.13793103448275804,-0.16666666666666666,-0.6153846153846154,1.0,0.0,1.0,0.0,0.0
1,1.0888888888888886,-0.5517241379310346,1.4166666666666667,1.2692307692307692,0.0,1.0,1.0,0.0,0.0
0,-0.3777777777777776,0.3103448275862062,-0.20833333333333334,0.038461538461538464,0.0,1.0,1.0,0.0,0.0
2,0.5666666666666669,0.3103448275862062,-0.16666666666666666,-0.17307692307692307,0.0,1.0,0.0,1.0,0.0
0,-0.9888888888888887,0.06896551724137902,-0.25,-0.6346153846153846,1.0,0.0,0.0,1.0,0.0
0,-0.3777777777777776,0.5862068965517234,-0.625,-0.4423076923076923,0.0,1.0,0.0,1.0,0.0
0,-0.04444444444444429,0.8275862068965506,-0.041666666666666664,0.3076923076923077,0.0,1.0,0.0,1.0,0.0
0,-0.8444444444444446,0.4482758620689654,-0.3333333333333333,-0.38461538461538464,1.0,0.0,0.0,1.0,0.0
1,0.0777777777777781,-1.206896551724137,0.75,0.5769230769230769,1.0,0.0,1.0,0.0,0.0
0,-0.35555555555555585,1.3103448275862062,-0.08333333333333333,0.3076923076923077,0.0,1.0,1.0,0.0,0.0
1,0.06666666666666682,-0.9655172413793098,0.75,0.7692307692307693,1.0,0.0,1.0,0.0,0.0
2,0.533333333333333,0.8965517241379296,0.25,0.038461538461538464,0.0,1.0,0.0,1.0,0.0
0,-0.9222222222222219,-0.4137931034482753,-0.4166666666666667,-0.34615384615384615,1.0,0.0,0.0,0.0,1.0
0,-0.7333333333333335,0.4482758620689654,-1.0416666666666667,-0.6538461538461539,1.0,0.0,1.0,0.0,0.0
2,-0.1111111111111111,0.2758620689655173,0.20833333333333334,-0.46153846153846156,1.0,0.0,0.0,1.0,0.0
0,-0.6999999999999997,0.2758620689655173,-0.5,-0.038461538461538464,0.0,1.0,1.0,0.0,0.0
1,0.40000000000000013,-0.7586206896551723,0.5,1.1538461538461537,0.0,1.0,1.0,0.0,0.0
1,0.4444444444444444,-0.7931034482758618,0.9166666666666666,0.6538461538461539,1.0,0.0,1.0,0.0,0.0
0,-0.17777777777777792,0.10344827586206913,-0.041666666666666664,0.5384615384615384,0.0,1.0,0.0,0.0,1.0
0,-1.0444444444444443,0.7241379310344815,-0.16666666666666666,0.15384615384615385,0.0,1.0,0.0,0.0,1.0
1,0.7333333333333335,-0.3448275862068963,0.9583333333333334,1.5384615384615385,0.0,1.0,1.0,0.0,0.0
1,0.3333333333333333,-1.068965517241379,0.5,0.46153846153846156,1.0,0.0,1.0,0.0,0.0
0,0.14444444444444413,0.5517241379310334,0.0,0.11538461538461539,0.0,1.0,0.0,0.0,1.0
1,-0.13333333333333364,-1.3448275862068957,0.5,0.3076923076923077,1.0,0.0,1.0,0.0,0.0
0,-0.9000000000000001,-0.10344827586206913,-0.08333333333333333,-0.5192307692307693,1.0,0.0,0.0,1.0,0.0
0,-0.4333333333333332,-0.03448275862069012,-0.4166666666666667,-0.40384615384615385,0.0,1.0,0.0,1.0,0.0
2,0.12222222222222238,0.7241379310344815,-0.125,-0.36538461538461536,1.0,0.0,0.0,1.0,0.0
0,-0.7444444444444448,-0.06896551724137902,-0.4583333333333333,-0.5384615384615384,0.0,1.0,0.0,0.0,1.0
0,-0.9555555555555557,-0.24137931034482715,-0.2916666666666667,-0.7307692307692307,1.0,0.0,0.0,0.0,1.0
0,0.12222222222222238,1.0344827586206888,-0.25,0.46153846153846156,0.0,1.0,1.0,0.0,0.0
1,0.0777777777777781,-0.5172413793103444,0.75,1.0,0.0,1.0,1.0,0.0,0.0
0,-0.466666666666667,0.4137931034482753,-0.041666666666666664,0.2692307692307692,0.0,1.0,0.0,1.0,0.0
2,0.7222222222222222,0.5172413793103444,0.25,0.07692307692307693,0.0,1.0,0.0,1.0,0.0
1,0.6111111111111112,-0.3448275862068963,1.375,1.3076923076923077,0.0,1.0,1.0,0.0,0.0
0,-0.9000000000000001,-0.06896551724137902,-0.5416666666666666,-0.8846153846153846,1.0,0.0,1.0,0.0,0.0
1,0.3222222222222221,-0.9310344827586203,0.625,0.5576923076923077,1.0,0.0,1.0,0.0,0.0
